geo_level,geo_name,year,state_name,pct_black_alone,pct_owner_occupied_black_alone,rpl_themes,quartiles_rpl_themes
county,"Madison County, Idaho",2023,Idaho,0.9,0.0,0.432000000,26-50% of geographies
county,"Cabarrus County, North Carolina",2023,North Carolina,18.9,13.3,0.432000000,26-50% of geographies
county,"Stokes County, North Carolina",2023,North Carolina,3.4,2.9,0.432000000,26-50% of geographies
county,"Wetzel County, West Virginia",2023,West Virginia,0.5,0.0,0.320000000,26-50% of geographies
county,"Grand Forks County, North Dakota",2023,North Dakota,3.6,0.3,0.320000000,26-50% of geographies
county,"Sioux County, Nebraska",2023,Nebraska,0.3,0.0,0.320000000,26-50% of geographies
county,"Loving County, Texas",2023,Texas,0.0,0.0,0.436000000,26-50% of geographies
county,"Stoddard County, Missouri",2023,Missouri,1.0,0.4,0.436000000,26-50% of geographies
county,"Iosco County, Michigan",2023,Michigan,0.9,0.1,0.436000000,26-50% of geographies
county,"Iron County, Michigan",2023,Michigan,0.8,0.0,0.324000000,26-50% of geographies
county,"Phelps County, Nebraska",2023,Nebraska,0.8,0.0,0.324000000,26-50% of geographies
county,"Whiteside County, Illinois",2023,Illinois,1.1,0.3,0.324000000,26-50% of geographies
county,"Saline County, Missouri",2023,Missouri,4.7,3.4,0.440000000,26-50% of geographies
county,"Elmore County, Alabama",2023,Alabama,21.1,13.9,0.440000000,26-50% of geographies
county,"Lenawee County, Michigan",2023,Michigan,2.3,0.5,0.440000000,26-50% of geographies
county,"Pope County, Illinois",2023,Illinois,5.0,1.0,0.328000000,26-50% of geographies
county,"Pickett County, Tennessee",2023,Tennessee,0.4,0.0,0.328000000,26-50% of geographies
county,"Livingston County, Illinois",2023,Illinois,3.5,1.2,0.328000000,26-50% of geographies
county,"Cascade County, Montana",2023,Montana,1.5,0.8,0.444000000,26-50% of geographies
county,"Sitka City and Borough, Alaska",2023,Alaska,0.4,0.0,0.444000000,26-50% of geographies
county,"King County, Texas",2023,Texas,0.0,0.0,0.444000000,26-50% of geographies
county,"Sumner County, Kansas",2023,Kansas,1.1,0.5,0.332000000,26-50% of geographies
county,"Catron County, New Mexico",2023,New Mexico,0.4,0.0,0.448000000,26-50% of geographies
county,"Surry County, Virginia",2023,Virginia,41.0,35.8,0.448000000,26-50% of geographies
county,"Polk County, Iowa",2023,Iowa,7.5,2.9,0.448000000,26-50% of geographies
county,"Grant County, Kansas",2023,Kansas,0.2,0.0,0.336000000,26-50% of geographies
county,"Calaveras County, California",2023,California,1.2,1.5,0.336000000,26-50% of geographies
county,"Elk County, Kansas",2023,Kansas,0.1,0.0,0.336000000,26-50% of geographies
county,"Ashe County, North Carolina",2023,North Carolina,1.1,0.7,0.452000000,26-50% of geographies
county,"Giles County, Tennessee",2023,Tennessee,8.6,6.5,0.452000000,26-50% of geographies
county,"Gallatin County, Illinois",2023,Illinois,0.7,1.2,0.452000000,26-50% of geographies
county,"Fort Bend County, Texas",2023,Texas,20.5,19.5,0.452000000,26-50% of geographies
county,"McNairy County, Tennessee",2023,Tennessee,5.3,5.5,0.340000000,26-50% of geographies
county,"St. Louis County, Missouri",2023,Missouri,24.2,15.9,0.340000000,26-50% of geographies
county,"Hamilton County, Kansas",2023,Kansas,0.0,0.0,0.340000000,26-50% of geographies
county,"Taylor County, Kentucky",2023,Kentucky,4.6,1.8,0.340000000,26-50% of geographies
county,"Cimarron County, Oklahoma",2023,Oklahoma,0.1,0.0,0.313000000,26-50% of geographies
county,"Ogle County, Illinois",2023,Illinois,1.2,0.5,0.313000000,26-50% of geographies
county,"Covington city, Virginia",2023,Virginia,12.3,7.3,0.313000000,26-50% of geographies
county,"Perry County, Arkansas",2023,Arkansas,1.8,0.0,0.429000000,26-50% of geographies
county,"New Hanover County, North Carolina",2023,North Carolina,11.3,7.3,0.429000000,26-50% of geographies
county,"Henderson County, North Carolina",2023,North Carolina,3.3,1.9,0.429000000,26-50% of geographies
county,"Schoharie County, New York",2023,New York,1.6,0.5,0.317000000,26-50% of geographies
county,"Scotland County, Missouri",2023,Missouri,0.1,0.0,0.317000000,26-50% of geographies
county,"Douglas County, South Dakota",2023,South Dakota,1.5,2.2,0.317000000,26-50% of geographies
county,"Jefferson County, Ohio",2023,Ohio,5.4,2.3,0.433000000,26-50% of geographies
county,"Baxter County, Arkansas",2023,Arkansas,0.4,0.1,0.433000000,26-50% of geographies
county,"Culpeper County, Virginia",2023,Virginia,13.2,9.4,0.433000000,26-50% of geographies
county,"Santa Rosa County, Florida",2023,Florida,5.5,4.1,0.321000000,26-50% of geographies
county,"Franklin County, Virginia",2023,Virginia,7.8,6.1,0.321000000,26-50% of geographies
county,"Williamson County, Texas",2023,Texas,6.9,4.9,0.321000000,26-50% of geographies
county,"Polk County, Minnesota",2023,Minnesota,2.2,0.0,0.437000000,26-50% of geographies
county,"Bergen County, New Jersey",2023,New Jersey,5.7,3.9,0.437000000,26-50% of geographies
county,"Marion County, Missouri",2023,Missouri,5.2,2.4,0.437000000,26-50% of geographies
county,"Hutchinson County, Texas",2023,Texas,2.4,1.9,0.325000000,26-50% of geographies
county,"Salem city, Virginia",2023,Virginia,7.8,3.6,0.325000000,26-50% of geographies
county,"Scott County, Iowa",2023,Iowa,7.1,2.7,0.325000000,26-50% of geographies
county,"Fentress County, Tennessee",2023,Tennessee,0.3,0.2,0.441000000,26-50% of geographies
county,"Summit County, Ohio",2023,Ohio,14.0,8.1,0.441000000,26-50% of geographies
county,"Rabun County, Georgia",2023,Georgia,0.9,0.0,0.441000000,26-50% of geographies
county,"Monroe County, Georgia",2023,Georgia,21.6,16.0,0.329000000,26-50% of geographies
county,"Otsego County, New York",2023,New York,2.4,0.6,0.329000000,26-50% of geographies
county,"Portage County, Ohio",2023,Ohio,4.7,2.1,0.329000000,26-50% of geographies
county,"Niagara County, New York",2023,New York,6.6,3.2,0.445000000,26-50% of geographies
county,"St. Charles Parish, Louisiana",2023,Louisiana,22.9,16.3,0.445000000,26-50% of geographies
county,"Clinton County, New York",2023,New York,3.1,0.2,0.445000000,26-50% of geographies
county,"Winkler County, Texas",2023,Texas,4.3,4.9,0.445000000,26-50% of geographies
county,"Kitsap County, Washington",2023,Washington,2.6,1.3,0.333000000,26-50% of geographies
county,"Skagway Municipality, Alaska",2023,Alaska,2.2,0.7,0.333000000,26-50% of geographies
county,"Monongalia County, West Virginia",2023,West Virginia,3.6,1.3,0.333000000,26-50% of geographies
county,"Weston County, Wyoming",2023,Wyoming,0.1,0.0,0.333000000,26-50% of geographies
county,"Lewis County, Missouri",2023,Missouri,3.0,1.3,0.449000000,26-50% of geographies
