geo_level,geo_name,year,state_name,pct_black_alone,pct_homeownership_black_alone,median_home_value_owner_occupied_houses_with_mortages,median_home_value_owner_occupied_houses_without_mortages,quartiles_median_home_value_owner_occupied_houses_with_mortages,quartiles_median_home_value_owner_occupied_houses_without_mortages
zcta,35614,2023,,3.5,13.3,209300.0,154200.0,26-50% of geographies,26-50% of geographies
zcta,52142,2023,,5.3,0.0,204000.0,154900.0,26-50% of geographies,26-50% of geographies
zcta,29849,2023,,30.2,92.3,,156000.0,,26-50% of geographies
zcta,17983,2023,,0.1,,145100.0,157000.0,Bottom 25% of geographies,26-50% of geographies
zcta,55752,2023,,0.0,,239100.0,157100.0,51-75% of geographies,26-50% of geographies
zcta,62479,2023,,0.0,,184400.0,157500.0,26-50% of geographies,26-50% of geographies
zcta,48742,2023,,0.1,,168900.0,157600.0,26-50% of geographies,26-50% of geographies
zcta,63056,2023,,0.0,,328900.0,158700.0,51-75% of geographies,26-50% of geographies
zcta,37618,2023,,2.0,0.0,185600.0,159000.0,26-50% of geographies,26-50% of geographies
zcta,61375,2023,,0.0,,165400.0,159200.0,26-50% of geographies,26-50% of geographies
zcta,16124,2023,,0.4,,204500.0,159400.0,26-50% of geographies,26-50% of geographies
zcta,32577,2023,,4.1,100.0,300200.0,160600.0,51-75% of geographies,26-50% of geographies
zcta,53208,2023,,41.7,16.5,205100.0,160800.0,26-50% of geographies,26-50% of geographies
zcta,18837,2023,,0.3,,189200.0,161300.0,26-50% of geographies,26-50% of geographies
zcta,38380,2023,,0.0,,,164800.0,,26-50% of geographies
zcta,55805,2023,,3.1,10.0,172100.0,165500.0,26-50% of geographies,26-50% of geographies
zcta,35974,2023,,0.2,,160900.0,165600.0,Bottom 25% of geographies,26-50% of geographies
zcta,85350,2023,,0.3,,251400.0,165800.0,51-75% of geographies,26-50% of geographies
zcta,45142,2023,,0.0,,179600.0,166100.0,26-50% of geographies,26-50% of geographies
zcta,56110,2023,,0.0,,214600.0,166400.0,26-50% of geographies,26-50% of geographies
zcta,43449,2023,,0.0,,183700.0,166700.0,26-50% of geographies,26-50% of geographies
zcta,57058,2023,,0.2,,237800.0,166800.0,51-75% of geographies,26-50% of geographies
zcta,68730,2023,,0.0,,203200.0,168500.0,26-50% of geographies,26-50% of geographies
zcta,54564,2023,,0.0,,175000.0,168800.0,26-50% of geographies,26-50% of geographies
zcta,74445,2023,,1.2,0.0,197800.0,169400.0,26-50% of geographies,26-50% of geographies
zcta,72160,2023,,37.6,36.6,146400.0,169500.0,Bottom 25% of geographies,26-50% of geographies
zcta,73801,2023,,0.4,,188400.0,170600.0,26-50% of geographies,26-50% of geographies
zcta,05859,2023,,0.3,,233100.0,171300.0,51-75% of geographies,26-50% of geographies
zcta,13068,2023,,0.6,71.5,221400.0,172700.0,26-50% of geographies,26-50% of geographies
zcta,46772,2023,,0.0,,262300.0,172800.0,51-75% of geographies,26-50% of geographies
zcta,19533,2023,,2.7,29.9,305100.0,176100.0,51-75% of geographies,26-50% of geographies
zcta,57790,2023,,2.0,31.6,252600.0,178500.0,51-75% of geographies,26-50% of geographies
zcta,53920,2023,,0.0,,300000.0,178600.0,51-75% of geographies,26-50% of geographies
zcta,22436,2023,,76.2,100.0,248300.0,179000.0,51-75% of geographies,26-50% of geographies
zcta,57564,2023,,1.8,,245600.0,179400.0,51-75% of geographies,26-50% of geographies
zcta,08332,2023,,15.1,35.2,207200.0,180300.0,26-50% of geographies,26-50% of geographies
zcta,76114,2023,,2.6,0.0,219300.0,180300.0,26-50% of geographies,26-50% of geographies
zcta,52552,2023,,0.0,,213100.0,181300.0,26-50% of geographies,26-50% of geographies
zcta,33852,2023,,6.3,31.5,245700.0,182700.0,51-75% of geographies,26-50% of geographies
zcta,38134,2023,,40.9,29.1,184700.0,183700.0,26-50% of geographies,26-50% of geographies
zcta,41745,2023,,0.0,,,185400.0,,26-50% of geographies
zcta,54462,2023,,0.0,,282100.0,185500.0,51-75% of geographies,26-50% of geographies
zcta,66502,2023,,4.1,43.7,240800.0,186500.0,51-75% of geographies,26-50% of geographies
